split,seed,target_prev,model,auroc_mean,auroc_std,ap_mean,ap_std,brier_mean,brier_std,train_prev_effective,test_prev
S1,1003,-1.0,rf,0.9525622312074831,0.012765499524599105,0.5656465503511959,0.04956007919587777,0.016764194813705103,0.0007499619027554549,0.02542433005992011,0.02542432108626198
S1,1003,-1.0,svm_linear_cal,0.9125817267041858,0.009259571406044524,0.46716019381351215,0.05575861605368745,0.018048112958666405,0.001364682429958269,0.02542433005992011,0.02542432108626198
S1,1003,-1.0,xgb,0.957184904434226,0.008193069511608133,0.5708281837437431,0.046739116672086876,0.01594735967966591,0.0013589084683987705,0.02542433005992011,0.02542432108626198
S1,1004,-1.0,extratrees,0.9493831946987179,0.011035964803351221,0.5421797702767507,0.07302257968440473,0.017988243608884468,0.0013023494431448816,0.02542433005992011,0.02542432108626198
S1,1004,-1.0,lr_l2,0.9152315952640617,0.01581109087784805,0.47565748901455673,0.062326928942792834,0.017757985965844224,0.0011245595630111043,0.02542433005992011,0.02542432108626198
S1,1004,-1.0,rf,0.9523896826462661,0.013252072940674204,0.5715101558932636,0.08083363100329105,0.016624041516112114,0.0013890113694978916,0.02542433005992011,0.02542432108626198
S1,1004,-1.0,svm_linear_cal,0.9059601389235752,0.02079750905105614,0.48044288018579717,0.0726366690942787,0.017670636681454396,0.0013644398104207885,0.02542433005992011,0.02542432108626198
S1,1004,-1.0,xgb,0.9584979903511458,0.01303921335474151,0.5660304943333649,0.06259903017260557,0.015858997458350666,0.0014185722752557157,0.02542433005992011,0.02542432108626198
S1,1005,-1.0,extratrees,0.951288311988353,0.0127631841863221,0.538668913493518,0.027819633961819676,0.01791853395303259,0.0005828535217278759,0.02542433005992011,0.02542432108626198
S1,1005,-1.0,lr_l2,0.9179547068748397,0.02094111296824287,0.47660418691175765,0.017521427060184638,0.01771531982690095,0.0005275781004746273,0.02542433005992011,0.02542432108626198
S1,1005,-1.0,rf,0.952802454999462,0.017032570452082493,0.5673639499486801,0.043474471192268486,0.016814057120155056,0.0004057839700628626,0.02542433005992011,0.02542432108626198
S1,1005,-1.0,svm_linear_cal,0.9111153309821717,0.019650469602980572,0.48885569789411293,0.021211215374732945,0.017618793326628097,0.0005258216326985778,0.02542433005992011,0.02542432108626198
S1,1005,-1.0,xgb,0.9612149953548285,0.011018118103976935,0.5760035494469381,0.03895785849809036,0.015949017874926218,0.0007688426843782438,0.02542433005992011,0.02542432108626198
S1,1006,-1.0,extratrees,0.9503593188671825,0.012268926424674444,0.5406875955368551,0.02920700326049703,0.017658113711453934,0.0001866362340450404,0.02542433005992011,0.02542432108626198
S1,1006,-1.0,lr_l2,0.9181377087756083,0.010725037188285916,0.47616808063544713,0.02152152837725647,0.017610730657198585,0.000437905239377117,0.02542433005992011,0.02542432108626198
S1,1006,-1.0,rf,0.9524329125056606,0.00915994135887437,0.5612218987605888,0.02782866045959468,0.016976471258099556,0.0004615805952340069,0.02542433005992011,0.02542432108626198
S1,1006,-1.0,svm_linear_cal,0.9077831199390021,0.010343430198189629,0.47731106868958867,0.019259784302559133,0.017558883438559873,0.00045059307933211065,0.02542433005992011,0.02542432108626198
S1,1006,-1.0,xgb,0.957580686870813,0.009425542582625401,0.5696972295021567,0.041320857426734824,0.016046083788720356,0.0011124259317209474,0.02542433005992011,0.02542432108626198
S1,1007,-1.0,extratrees,0.9541959711686763,0.00709653597301978,0.5455712624003612,0.03455307315427829,0.017885134012077517,0.0006081992381276137,0.02542433005992011,0.02542432108626198
S1,1007,-1.0,lr_l2,0.9122966933313281,0.0174912182205907,0.47342802924400507,0.0174019367922724,0.017763870870728303,0.0006683229814757713,0.02542433005992011,0.02542432108626198
S1,1007,-1.0,rf,0.955400668802642,0.004696005006051637,0.5739141007944921,0.013128415903732678,0.016634499385868796,0.00025769820954539715,0.02542433005992011,0.02542432108626198
