split,seed,target_prev,fold,model,train_prev_effective,test_prev,auroc,ap,brier,best_params
S1,1002,-1.0,5,lr_l2,0.025388371060807814,0.02556818181818182,0.8894203514739228,0.4250048100072288,0.018773717016573658,"{""clf__C"": 1.0}"
S1,1002,-1.0,5,svm_linear_cal,0.025388371060807814,0.02556818181818182,0.8748025996112732,0.4192801453831437,0.019075344938026137,"{""clf__C"": 0.1}"
S1,1002,-1.0,5,rf,0.025388371060807814,0.02556818181818182,0.938800817946226,0.5163650433493189,0.017787627249053032,"{""clf__max_depth"": null}"
S1,1002,-1.0,5,xgb,0.025388371060807814,0.02556818181818182,0.950219671201814,0.5407616063510057,0.017021620758663134,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 5}"
S1,1002,-1.0,5,extratrees,0.025388371060807814,0.02556818181818182,0.9402610746679625,0.5045599325402331,0.01852984335542929,"{""clf__max_depth"": null}"
S1,1003,-1.0,1,lr_l2,0.025390625,0.025559105431309903,0.9186804290629428,0.5183340120460522,0.01653666975008156,"{""clf__C"": 1.0}"
S1,1003,-1.0,1,svm_linear_cal,0.025390625,0.025559105431309903,0.9149413074276462,0.5294248082587251,0.016393175057719873,"{""clf__C"": 0.1}"
S1,1003,-1.0,1,rf,0.025390625,0.025559105431309903,0.9636055454361465,0.6406319345537728,0.015709022600875637,"{""clf__max_depth"": null}"
S1,1003,-1.0,1,xgb,0.025390625,0.025559105431309903,0.9633879781420766,0.644818626904018,0.013850841990171637,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 3}"
S1,1003,-1.0,1,extratrees,0.025390625,0.025559105431309903,0.9544727787897186,0.6007446368011942,0.017569204129852106,"{""clf__max_depth"": 12}"
S1,1003,-1.0,2,lr_l2,0.025477141588992454,0.02521306818181818,0.9226096103029836,0.4945896140633855,0.017240941861267525,"{""clf__C"": 1.0}"
S1,1003,-1.0,2,svm_linear_cal,0.025477141588992454,0.02521306818181818,0.9052925934477539,0.49095730622095635,0.017660265062854508,"{""clf__C"": 1.0}"
S1,1003,-1.0,2,rf,0.025477141588992454,0.02521306818181818,0.966115087611278,0.5772305999053503,0.016594989697411248,"{""clf__max_depth"": 12}"
S1,1003,-1.0,2,xgb,0.025477141588992454,0.02521306818181818,0.9682906180250905,0.584198431313684,0.015515034881263524,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 4}"
S1,1003,-1.0,2,extratrees,0.025477141588992454,0.02521306818181818,0.9677544318735729,0.5407651123216163,0.017416206005366162,"{""clf__max_depth"": null}"
S1,1003,-1.0,3,lr_l2,0.025477141588992454,0.02521306818181818,0.920916390877139,0.43698918598286934,0.01820199294007058,"{""clf__C"": 1.0}"
S1,1003,-1.0,3,svm_linear_cal,0.025477141588992454,0.02521306818181818,0.9213473921855357,0.410484652899024,0.019176265558976148,"{""clf__C"": 10.0}"
S1,1003,-1.0,3,rf,0.025477141588992454,0.02521306818181818,0.9362246337771621,0.5259420068055468,0.017400983467487374,"{""clf__max_depth"": null}"
S1,1003,-1.0,3,xgb,0.025477141588992454,0.02521306818181818,0.9534826445008852,0.525128843513009,0.016893902468120097,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 3}"
S1,1003,-1.0,3,extratrees,0.025477141588992454,0.02521306818181818,0.9379614664306422,0.4770764479810665,0.019138893075890614,"{""clf__max_depth"": 12}"
S1,1003,-1.0,4,lr_l2,0.025388371060807814,0.02556818181818182,0.9213232912212505,0.47796398316407135,0.01759928974576741,"{""clf__C"": 1.0}"
S1,1003,-1.0,4,svm_linear_cal,0.025388371060807814,0.02556818181818182,0.920665289925494,0.49909872844845,0.01730768545637019,"{""clf__C"": 1.0}"
S1,1003,-1.0,4,rf,0.025388371060807814,0.02556818181818182,0.9531857385811469,0.5686072672967317,0.016543390940656568,"{""clf__max_depth"": null}"
S1,1003,-1.0,4,xgb,0.025388371060807814,0.02556818181818182,0.9508371801101393,0.5419798046528861,0.01731142240603812,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 5}"
S1,1003,-1.0,4,extratrees,0.025388371060807814,0.02556818181818182,0.948387390670554,0.5158221521519295,0.018297449564821957,"{""clf__max_depth"": 12}"
S1,1003,-1.0,5,lr_l2,0.025388371060807814,0.02556818181818182,0.9167628360868157,0.41138919912792,0.019436710830896833,"{""clf__C"": 1.0}"
S1,1003,-1.0,5,svm_linear_cal,0.025388371060807814,0.02556818181818182,0.9006620505344995,0.4058354732404053,0.019703173657411303,"{""clf__C"": 1.0}"
