split,miss_rate,baseline_seed,baseline_severity,baseline_winner_det,det_flip_pct,tie_flip_pct,kendall_tau_mean,spearman_rho_mean,flip_thr,tau_thr,stable_det,stable_tie
S2,0.3,1001,0.0,xgb,0.0,0.0,0.8526315789473684,0.9263157894736839,0.0,0.7,True,True
S2,0.3,1001,0.0,xgb,0.0,0.0,0.8526315789473684,0.9263157894736839,0.0,0.8,True,True
S2,0.3,1001,0.0,xgb,0.0,0.0,0.8526315789473684,0.9263157894736839,0.0,0.9,False,False
S2,0.3,1001,0.0,xgb,0.0,0.0,0.8526315789473684,0.9263157894736839,5.0,0.7,True,True
S2,0.3,1001,0.0,xgb,0.0,0.0,0.8526315789473684,0.9263157894736839,5.0,0.8,True,True
S2,0.3,1001,0.0,xgb,0.0,0.0,0.8526315789473684,0.9263157894736839,5.0,0.9,False,False
S2,0.3,1001,0.0,xgb,0.0,0.0,0.8526315789473684,0.9263157894736839,10.0,0.7,True,True
S2,0.3,1001,0.0,xgb,0.0,0.0,0.8526315789473684,0.9263157894736839,10.0,0.8,True,True
S2,0.3,1001,0.0,xgb,0.0,0.0,0.8526315789473684,0.9263157894736839,10.0,0.9,False,False
S2,0.4,1001,0.0,xgb,0.0,0.0,0.8210526315789475,0.9105263157894733,0.0,0.7,True,True
S2,0.4,1001,0.0,xgb,0.0,0.0,0.8210526315789475,0.9105263157894733,0.0,0.8,True,True
S2,0.4,1001,0.0,xgb,0.0,0.0,0.8210526315789475,0.9105263157894733,0.0,0.9,False,False
S2,0.4,1001,0.0,xgb,0.0,0.0,0.8210526315789475,0.9105263157894733,5.0,0.7,True,True
S2,0.4,1001,0.0,xgb,0.0,0.0,0.8210526315789475,0.9105263157894733,5.0,0.8,True,True
S2,0.4,1001,0.0,xgb,0.0,0.0,0.8210526315789475,0.9105263157894733,5.0,0.9,False,False
S2,0.4,1001,0.0,xgb,0.0,0.0,0.8210526315789475,0.9105263157894733,10.0,0.7,True,True
S2,0.4,1001,0.0,xgb,0.0,0.0,0.8210526315789475,0.9105263157894733,10.0,0.8,True,True
S2,0.4,1001,0.0,xgb,0.0,0.0,0.8210526315789475,0.9105263157894733,10.0,0.9,False,False
S2,0.5,1001,0.0,xgb,0.0,0.0,0.9473684210526315,0.9736842105263156,0.0,0.7,True,True
S2,0.5,1001,0.0,xgb,0.0,0.0,0.9473684210526315,0.9736842105263156,0.0,0.8,True,True
S2,0.5,1001,0.0,xgb,0.0,0.0,0.9473684210526315,0.9736842105263156,0.0,0.9,True,True
S2,0.5,1001,0.0,xgb,0.0,0.0,0.9473684210526315,0.9736842105263156,5.0,0.7,True,True
S2,0.5,1001,0.0,xgb,0.0,0.0,0.9473684210526315,0.9736842105263156,5.0,0.8,True,True
S2,0.5,1001,0.0,xgb,0.0,0.0,0.9473684210526315,0.9736842105263156,5.0,0.9,True,True
S2,0.5,1001,0.0,xgb,0.0,0.0,0.9473684210526315,0.9736842105263156,10.0,0.7,True,True
S2,0.5,1001,0.0,xgb,0.0,0.0,0.9473684210526315,0.9736842105263156,10.0,0.8,True,True
S2,0.5,1001,0.0,xgb,0.0,0.0,0.9473684210526315,0.9736842105263156,10.0,0.9,True,True
S2,0.6,1001,0.0,xgb,0.0,0.0,0.9578947368421052,0.9789473684210526,0.0,0.7,True,True
S2,0.6,1001,0.0,xgb,0.0,0.0,0.9578947368421052,0.9789473684210526,0.0,0.8,True,True
S2,0.6,1001,0.0,xgb,0.0,0.0,0.9578947368421052,0.9789473684210526,0.0,0.9,True,True
