split,seed,miss_rate,winner_det,winner_tie_set,winner_tie_k,best_auroc,best_ap,best_brier
S1,1010,0.5,xgb,xgb,1,0.9272429442552492,0.4202597089967074,0.0189142752681394
S1,1011,0.5,xgb,xgb,1,0.925271147737571,0.4015253473115535,0.0192321957982535
S1,1012,0.5,xgb,xgb,1,0.9224073871996502,0.3910185019240805,0.0194282894580243
S1,1013,0.5,xgb,xgb,1,0.9270452270454568,0.4191887036624099,0.0187563850948195
S1,1014,0.5,xgb,xgb,1,0.9321224453343524,0.3994940356561741,0.0192552344271958
S1,1015,0.5,xgb,xgb,1,0.9260762806614292,0.400191183523204,0.0193291958339984
S1,1016,0.5,xgb,xgb,1,0.9303955868880348,0.4340211800442922,0.0187827064147552
S1,1017,0.5,xgb,xgb,1,0.9325439880878936,0.4214254475376922,0.0189235552684805
S1,1018,0.5,xgb,xgb,1,0.9219627010220208,0.405117368609846,0.0190823795136777
S1,1019,0.5,xgb,xgb,1,0.9240676593720492,0.4487118352164891,0.0182220697595089
S1,1020,0.5,xgb,xgb,1,0.9312059192696294,0.3982305302825014,0.0193791956594534
S1,1001,0.6,xgb,xgb,1,0.9023386844585848,0.3536960788995175,0.0200536036701188
S1,1002,0.6,xgb,xgb,1,0.9191332853580764,0.3792486184723593,0.0197533436511849
S1,1003,0.6,xgb,xgb,1,0.9204790224293524,0.3522224011543599,0.0202369319158607
S1,1004,0.6,xgb,xgb,1,0.9152602956759346,0.3617736646188305,0.020004911654866
S1,1005,0.6,xgb,xgb,1,0.9118374775737266,0.355247108658857,0.0200512967673375
S1,1006,0.6,xgb,xgb,1,0.9131810589829616,0.3920464922127643,0.0195106449225075
S1,1007,0.6,xgb,xgb,1,0.9139022427129349,0.3904854217781294,0.0194518813156078
S1,1008,0.6,xgb,xgb,1,0.9162554382941558,0.3666689114823712,0.0198344846740407
S1,1009,0.6,xgb,xgb,1,0.9083880318052158,0.3762032365409062,0.0197766041162165
S1,1010,0.6,xgb,xgb,1,0.9118891367895822,0.3648015090829987,0.0199395622105187
S1,1011,0.6,xgb,xgb,1,0.9222240067274188,0.3659117303079696,0.0199251022860656
S1,1012,0.6,xgb,xgb,1,0.9067933536282065,0.370499102270526,0.0196885746120685
S1,1013,0.6,xgb,xgb,1,0.916279814110948,0.3434475784071254,0.0202328149237249
S1,1014,0.6,xgb,xgb,1,0.9166673246848432,0.3826794018933798,0.0196043219513273
S1,1015,0.6,xgb,xgb,1,0.914086259307494,0.3470178556021022,0.020209355917633
S1,1016,0.6,xgb,xgb,1,0.9139252907754196,0.3605604294594244,0.0200471596018675
S1,1017,0.6,xgb,xgb,1,0.9207614748059664,0.3544495300105008,0.0201756998285688
S1,1018,0.6,xgb,xgb,1,0.9104250166906048,0.3819681132071683,0.0194885935167227
S1,1019,0.6,xgb,xgb,1,0.9176522298886314,0.3616495961108593,0.0198963965830746
S1,1020,0.6,xgb,xgb,1,0.9109921289380832,0.3770883336119235,0.019788405350104
S1,1001,0.7,xgb,xgb,1,0.896915229925518,0.3310200757755498,0.0205237365089558
S1,1002,0.7,xgb,xgb,1,0.8928379754008233,0.288581178900968,0.0211917928613493
S1,1003,0.7,xgb,xgb,1,0.8985427508682859,0.3093688622520336,0.0208334766329348
S1,1004,0.7,xgb,xgb,1,0.8958895318825293,0.3077015407710567,0.0208128563716459
S1,1005,0.7,xgb,xgb,1,0.8993218476046337,0.3125716074453762,0.0207319394033792
S1,1006,0.7,xgb,xgb,1,0.9012192516523124,0.3202395080517154,0.0208407384712682
S1,1007,0.7,xgb,xgb,1,0.8977479805035975,0.299568082214742,0.0210071016368268
S1,1008,0.7,xgb,xgb,1,0.8953354672080828,0.2826653308437256,0.0212548773389537
S1,1009,0.7,xgb,xgb,1,0.8967450709543101,0.3421315402800888,0.0203213319010804
S1,1010,0.7,xgb,xgb,1,0.8971709249046771,0.3389963879444178,0.0203680089404821
S1,1011,0.7,xgb,xgb,1,0.8961700618368486,0.2987534740352524,0.0210376259455466
S1,1012,0.7,xgb,xgb,1,0.901555313930928,0.3132478142213691,0.020792097935359
S1,1013,0.7,xgb,xgb,1,0.9065130737192362,0.3533969701685974,0.0201242541184995
S1,1014,0.7,xgb,xgb,1,0.8981416636863797,0.3318819846402696,0.0204274129763593
S1,1015,0.7,xgb,xgb,1,0.8913598218338693,0.3026453770800464,0.0210392640389316
S1,1016,0.7,xgb,xgb,1,0.905074856100512,0.3304523596010175,0.0206255142932402
S1,1017,0.7,xgb,xgb,1,0.9009266642089712,0.3386890302594333,0.0202793061781217
S1,1018,0.7,xgb,rf,1,0.8882294643707421,0.3037445919241764,0.0208548965260948
S1,1019,0.7,xgb,xgb,1,0.911970687701084,0.30738418427026,0.0208322355820493
S1,1020,0.7,xgb,xgb,1,0.9132982598529732,0.3380658499451232,0.0204408254964817
S2,1001,0.0,xgb,xgb,1,0.961147212797044,0.5624686498811928,0.0158867148265118
S2,1002,0.0,xgb,xgb,1,0.9587926656857924,0.5769799546749714,0.0157570544168575
S2,1003,0.0,xgb,xgb,1,0.9605882866283754,0.5725217936668768,0.0157712525984474
S2,1004,0.0,xgb,xgb,1,0.9593947012475188,0.5640966209171807,0.0159256870762473
S2,1005,0.0,xgb,xgb,1,0.9625237148132694,0.5840587247273941,0.0156074410371517
S2,1006,0.0,xgb,xgb,1,0.9587576058809032,0.5705576275866131,0.0157899396596677
S2,1007,0.0,xgb,xgb,1,0.9612858121793122,0.5718096642227016,0.0156983318814387
S2,1008,0.0,xgb,xgb,1,0.9581951835861352,0.5686200781839285,0.015776720431069
S2,1009,0.0,xgb,xgb,1,0.9613208513724067,0.581952314360854,0.0154657821210288
S2,1010,0.0,xgb,xgb,1,0.9605677651824914,0.5649398253163898,0.015857739311936
S2,1011,0.0,xgb,xgb,1,0.9604659751618884,0.5717791278175361,0.0156694504000182
S2,1012,0.0,xgb,xgb,1,0.958055775240626,0.5731222083517168,0.0157606994156053
S2,1013,0.0,xgb,xgb,1,0.9627400322365158,0.5667918994398754,0.0157995600622184
S2,1014,0.0,xgb,xgb,1,0.9580631477855872,0.5750695444506243,0.0159230621011171
S2,1015,0.0,xgb,xgb,1,0.9611502597508532,0.5698419675879285,0.0157923523303662
S2,1016,0.0,xgb,xgb,1,0.9614154514233574,0.5655148877795275,0.0158883277945717
S2,1017,0.0,xgb,xgb,1,0.9633091049387804,0.5718431814817309,0.0157949526394669
S2,1018,0.0,xgb,xgb,1,0.960488099243618,0.5695534940586986,0.0156492707280362
S2,1019,0.0,xgb,xgb,1,0.9632858173067128,0.5637653073443916,0.0157391586834888
S2,1020,0.0,xgb,xgb,1,0.9603665778497732,0.5674129303885811,0.015650319840085
S2,1001,0.05,xgb,xgb,1,0.9606374052878334,0.5633680892714968,0.016101978064789
S2,1002,0.05,xgb,xgb,1,0.9571538081924692,0.5468292395723643,0.0162602921138106
S2,1003,0.05,xgb,xgb,1,0.9583448679072076,0.5349388271179458,0.0166186526448599
S2,1004,0.05,xgb,xgb,1,0.958426816397544,0.5512711686815542,0.0164284275763119
S2,1005,0.05,xgb,xgb,1,0.9571333477585936,0.545856826019931,0.0164030132019225
S2,1006,0.05,xgb,xgb,1,0.9548986863629846,0.5538934655446363,0.01608125095375
S2,1007,0.05,xgb,xgb,1,0.9590733174395528,0.5484583756771826,0.0163163138381358
S2,1008,0.05,xgb,xgb,1,0.9579427688126496,0.5403166064588989,0.0166110788747256
S2,1009,0.05,xgb,xgb,1,0.9574497297099128,0.5714063986433955,0.0157227516511493
S2,1010,0.05,xgb,xgb,1,0.9606046677929156,0.5556384436687466,0.0159306632768886
S2,1011,0.05,xgb,xgb,1,0.9586487223320226,0.559897290559191,0.0158157747066037
S2,1012,0.05,xgb,xgb,1,0.956982961574614,0.5520578534644909,0.0161261887831533
S2,1013,0.05,xgb,xgb,1,0.962338717651492,0.5636671251526737,0.0159344393572279
S2,1014,0.05,xgb,xgb,1,0.9563377718673668,0.5692083937032615,0.0158096406383406
S2,1015,0.05,xgb,xgb,1,0.959110121475984,0.5689236992231973,0.0158874849452274
S2,1016,0.05,xgb,xgb,1,0.9607859127258972,0.560843732355394,0.0161796062937565
S2,1017,0.05,xgb,xgb,1,0.9602432107694964,0.5501945292325766,0.0161188418838975
