split,seed,target_prev,winner_det,winner_tie_set,winner_tie_k,best_auroc,best_ap,best_brier
S2,1007,0.5,xgb,rf,1,0.9509504661490596,0.4624331136130371,0.089614177177539
S2,1008,0.5,xgb,xgb,1,0.9495606577344574,0.4780007490324024,0.1008023491203257
S2,1009,0.5,xgb,xgb,1,0.9516381823472428,0.4410008137637067,0.0982489406059387
S2,1010,0.5,xgb,xgb,1,0.9524780092428962,0.4518522168549787,0.0955506218725348
S2,1011,0.5,rf,rf,1,0.953122659976284,0.4780793757029314,0.1062483416301891
S2,1012,0.5,rf,rf,1,0.9523983389786904,0.49408926885868,0.0999663270886289
S2,1013,0.5,rf,rf,1,0.953985693561576,0.4694717952769088,0.1030702808040015
S2,1014,0.5,xgb,xgb,1,0.9522021448433566,0.4228021503682363,0.0914603173644504
S2,1015,0.5,xgb,xgb,1,0.9536257782921944,0.4766305253161397,0.1021485248461437
S2,1016,0.5,rf,rf,1,0.9507583554286424,0.457161923122695,0.1066989910323011
S2,1017,0.5,xgb,xgb,1,0.9534635410945634,0.4358364531239829,0.0946898273658875
S2,1018,0.5,rf,rf,1,0.9523922552896142,0.4691378336358304,0.1024546736837481
S2,1019,0.5,rf,rf,1,0.95058522933739,0.4629604363557957,0.1037146740317427
S2,1020,0.5,xgb,rf,1,0.95321870599881,0.4522562829787191,0.0970362676708892
