split,seed,miss_rate,fold,model,auroc,ap,brier,best_params
S1,1001,0.3,4,extratrees,0.9074571793002916,0.4232018769746259,0.0195715672348484,"{""clf__max_depth"": null}"
S1,1001,0.3,4,lr_l2,0.8741547214123745,0.4381414296864797,0.0184848571546089,"{""clf__C"": 0.1}"
S1,1001,0.3,4,rf,0.9316083576287658,0.4790972934189576,0.01851702925744,"{""clf__max_depth"": 12}"
S1,1001,0.3,4,svm_linear_cal,0.8759009556203434,0.4324759433534789,0.0187062658648524,"{""clf__C"": 0.1}"
S1,1001,0.3,4,xgb,0.938168124392614,0.5410502535900593,0.0167960089872907,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 5}"
S1,1001,0.3,5,extratrees,0.94100512228701,0.5677783746820759,0.0181032187105429,"{""clf__max_depth"": null}"
S1,1001,0.3,5,lr_l2,0.9055160754778102,0.4542061542713741,0.0181551847741333,"{""clf__C"": 1.0}"
S1,1001,0.3,5,rf,0.939547396339488,0.5811850945171047,0.0170291410195707,"{""clf__max_depth"": null}"
S1,1001,0.3,5,svm_linear_cal,0.8946641156462585,0.4755333906438071,0.0178362963627579,"{""clf__C"": 0.1}"
S1,1001,0.3,5,xgb,0.958642087787496,0.5757419448514156,0.0162561791745691,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 3}"
S1,1001,0.4,1,extratrees,0.9191155636510828,0.3198997079244106,0.0215818255504052,"{""clf__max_depth"": 12}"
S1,1001,0.4,1,lr_l2,0.8721665654725764,0.2718137330541579,0.0213845097394091,"{""clf__C"": 0.1}"
S1,1001,0.4,1,rf,0.9203248330297512,0.3371281556578133,0.0205078034421973,"{""clf__max_depth"": 12}"
S1,1001,0.4,1,svm_linear_cal,0.8741651487553128,0.27955365352224,0.0214332420815301,"{""clf__C"": 0.1}"
S1,1001,0.4,1,xgb,0.9207903258449708,0.3454388787418834,0.0203513179227941,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 4}"
S1,1001,0.4,2,extratrees,0.934785397265194,0.4597182680236338,0.0196901513201416,"{""clf__max_depth"": 12}"
S1,1001,0.4,2,lr_l2,0.8863285358782934,0.4153844252937806,0.018499071731023,"{""clf__C"": 1.0}"
S1,1001,0.4,2,rf,0.9480335565304394,0.4461349486511267,0.0187223156058293,"{""clf__max_depth"": 12}"
S1,1001,0.4,2,svm_linear_cal,0.8793452884886733,0.4309157002521849,0.0186532392049556,"{""clf__C"": 0.1}"
S1,1001,0.4,2,xgb,0.9487211062366916,0.4373149708379928,0.0185816917488749,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 3}"
S1,1001,0.4,3,extratrees,0.9202031863311014,0.4788953455219357,0.0189787770280934,"{""clf__max_depth"": null}"
S1,1001,0.4,3,lr_l2,0.8709869416865491,0.3357679672158584,0.020231357655883,"{""clf__C"": 1.0}"
S1,1001,0.4,3,rf,0.918037917853203,0.4388403597463707,0.0192753525914497,"{""clf__max_depth"": 12}"
S1,1001,0.4,3,svm_linear_cal,0.8662818440698838,0.3481141765389569,0.0200061024668612,"{""clf__C"": 0.1}"
S1,1001,0.4,3,xgb,0.926919623386952,0.3917171764611468,0.0193064685355706,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 3}"
S1,1001,0.4,4,extratrees,0.8992726554907677,0.3780613534574485,0.020018919665404,"{""clf__max_depth"": null}"
