split,seed,miss_rate,model,auroc_mean,auroc_std,ap_mean,ap_std,brier_mean,brier_std
S1,1004,0.3,extratrees,0.9384260588047197,0.00977959572094354,0.48368096620431117,0.060230301520847254,0.019412001126319738,0.0008801371192518297
S1,1004,0.3,lr_l2,0.8950845338501899,0.018569619066880566,0.40951614587800533,0.0611263989494556,0.01910309254918034,0.0011804792307994496
S1,1004,0.3,rf,0.9381405384952949,0.011455276057678546,0.4963321462865428,0.0724777276795712,0.01828866239895994,0.001094193764838872
S1,1004,0.3,svm_linear_cal,0.8846633093876527,0.021542615336953255,0.4209321649820267,0.06467708197936457,0.01885359459839202,0.0010500942000311536
S1,1004,0.3,xgb,0.9490783096314029,0.012212574065179874,0.464885004208234,0.05310090035719918,0.01809016266340116,0.0010878945477244546
S1,1004,0.4,extratrees,0.9265783456059372,0.010795017124626716,0.43070967129077226,0.07808595316765866,0.01995137799791396,0.0006800669649676425
S1,1004,0.4,lr_l2,0.8803504391018635,0.011888561979482643,0.3718881397299805,0.05353427996419535,0.01978130300942444,0.0009508242367045466
S1,1004,0.4,rf,0.9255301991002763,0.023121892761069893,0.4441113400946756,0.08246236484674514,0.01904709032280166,0.0011546564922799629
S1,1004,0.4,svm_linear_cal,0.8717265335327996,0.016315302208166533,0.38415072859572863,0.06160881824827431,0.01974663461647814,0.0010666644782530582
S1,1004,0.4,xgb,0.9352814842611714,0.015837593131579734,0.41933101568681036,0.0682876470455529,0.01888385615401008,0.0013648702494892645
S1,1004,0.5,extratrees,0.9066753283435126,0.019621124075114252,0.37743069074624025,0.059989154307264966,0.020632947697013602,0.0009688548369714347
S1,1004,0.5,lr_l2,0.8700276334391781,0.013298191034834032,0.338243213125044,0.06352798455800394,0.02035559452399712,0.0012449599243791714
S1,1004,0.5,rf,0.9114226206193624,0.024344569455365412,0.39349280708419393,0.08462786490175632,0.020007776246834842,0.0014220005229764181
S1,1004,0.5,svm_linear_cal,0.8597346136157988,0.010223700164508081,0.34023114615251604,0.07158348707305934,0.02031608926557836,0.0013019617637456476
S1,1004,0.5,xgb,0.9268039009503202,0.01245196734167594,0.3902618164048552,0.05090475897467914,0.01940045397356728,0.001103071346920901
S1,1004,0.6,extratrees,0.9025951653171864,0.01564563912374402,0.35409131676260264,0.05028264442783989,0.02110153535794634,0.0007931342982902795
S1,1004,0.6,lr_l2,0.8757326007985261,0.020337918429468284,0.33631003703006634,0.06546878008643406,0.02027787176432618,0.0013352506554532447
S1,1004,0.6,rf,0.9014467914187062,0.029349463050780362,0.39385981880657106,0.07408025793948707,0.02021770229523216,0.0008481591101015761
S1,1004,0.6,svm_linear_cal,0.8663971047588748,0.02915568532634638,0.3388289311097734,0.06736091044395776,0.02044881083592118,0.0010795210015720805
S1,1004,0.6,xgb,0.9152602956759346,0.022829322555336828,0.36177366461883054,0.06437413448631879,0.020004911654866002,0.0011550638141720967
S1,1004,0.7,extratrees,0.883058464296117,0.01840045803491786,0.30725221879243203,0.046493360640149625,0.021929263625984442,0.00044857892718231377
